> t(MM_KMClust$centers)
                                1        2
Slow.songs.or.fast.songs 3.273267 3.382178
Dance                    2.807921 3.421782
Folk                     2.621782 1.954455
Country                  2.398020 1.851485
Classical.music          3.532673 2.382178
Musical                  2.992079 2.530693
Pop                      3.192079 3.750495
Rock                     4.398020 3.118812
Metal.or.Hardrock        3.130693 1.592079
Punk                     3.122772 1.790099
Hiphop..Rap              2.499010 3.322772
Reggae..Ska              3.045545 2.495050
Swing..Jazz              3.279208 2.241584
Rock.n.roll              3.798020 2.477228
Alternative              3.576238 2.079208
Latino                   2.867327 2.819802
Techno..Trance           2.097030 2.572277
Opera                    2.548515 1.730693
Horror                   2.776238 2.811881
Thriller                 3.479208 3.287129
Comedy                   4.336634 4.655446
Romantic                 3.372277 3.605941
Sci.fi                   3.330693 2.895050
War                      3.447525 2.863366
Fantasy.Fairy.tales      3.881188 3.625743
Animated                 3.960396 3.619802
Documentary              3.908911 3.370297
Western                  2.417822 1.833663
Action                   3.560396 3.508911
