"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"Slow.songs.or.fast.songs",0.0703172533944527,0.0843356783344374,-0.0339692779502581,0.0787994125872694,-0.00462785147979916,-0.0181887128745308,-0.149339977646962,0.0295530217882514,-0.0197307614773922,0.0554030477222116,0.0123491895265866,0.0151042683182495,-0.0291157576657253,0.034240380396308
"Dance",0.346403414898134,-0.0452670878633878,-0.0468714321903922,-0.0358881843291816,-0.026441527422621,-0.0357215948153116,-0.408217249153007,0.0127244268771674,-0.0564911373450974,0.0458094978271583,0.114844167146344,0.0695089984644465,0.0137957724763213,0.0285998295283635
"Folk",0.0322891437451067,-0.0587287164697857,-0.0243046339775008,-0.0246634352956772,-0.00906641294357747,0.0164724814564149,-0.00853985173465677,0.13756042975562,-0.03081677749619,-0.126029254652048,0.599877520403293,0.174210667110982,0.0874752121236881,0.0971733396859745
"Country",0.0337273806730088,0.050762940841235,0.0382866927780805,0.000335438064001663,-0.000101953321045964,-0.00564837117318066,-0.0115331334553434,-0.0870006560268804,0.0143658038329285,0.0540544216767345,0.6491602527037,-0.0921503401110987,-0.0839981206448015,-0.0257287938445963
"Classical.music",0.00870339393061096,0.0871654704071338,0.0221253780376824,-0.0203460540404873,0.0129720277542723,0.000108780862415519,-0.00578890635462052,-0.0430305424037523,-0.010036406194934,-0.576858222210927,0.00980764754576557,0.0702244000314055,0.135918607986784,-0.0418051731491419
"Musical",0.169994882333172,-0.212458934454071,-0.031088071743053,0.0426461960031355,0.0306601619719362,-0.0102127174181064,0.106048423437529,-0.04696367766994,0.010398293063397,-0.4599552843823,-0.00689739155568614,-0.3150743402581,-0.0851414095291148,-0.0141628698076552
"Pop",0.660968682021205,-0.0230230835138146,-0.00604485462875522,0.00269566515914882,0.0146893561105182,0.000334455461866122,-0.0364582003276705,0.0290535204318928,0.0280957800841651,-0.0269639331619333,0.00378612621651751,-0.0506722526334225,-0.0352090079863273,0.0304932933593637
"Rock",0.260894441396205,0.073589335403439,0.134235542354883,0.443572662637176,0.0691111903783303,0.0193676072223062,0.0342504968056639,-0.130913888548425,-0.0617611766059632,0.0357446529072943,-0.028004271553416,-0.0212638396383727,0.0817088553071923,-0.0802988801678415
"Metal.or.Hardrock",-0.287666340600817,0.0136191171716345,0.0696662156367395,0.641080225658757,0.0138831905526131,0.012554266303198,-0.168728908583463,-0.0200806106073298,-0.0241502828586812,-0.0754351629059501,-0.0305619201852919,-0.112011594431668,-0.2042968417932,-0.00559061896035376
"Punk",0.0391342606652859,-0.0749429900073747,-0.218568942604379,0.565926625579489,-0.0575310240075946,-0.0301252707079321,0.0744120350424421,0.203681953204963,0.0572276729034643,0.00373163160045815,0.0410546815700029,0.0873674652469737,0.159522746898259,0.0749086527712062
