"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29"
"Slow.songs.or.fast.songs",-0.0303325193994126,0.0459247410878583,-0.0988451499167639,0.0842140503696014,-0.0400084264674911,0.0440870891213637,-0.0766014716268766,0.0789791248581227,-0.0808067912958839,-0.0220805787489315,-0.0255539394454004,0.0512664110266728,0.0410914206809535,0.0357704008558317,0.182840789508033,-0.0631165562578886,-0.0872246921783227,-0.129857667074158,0.421751682438401,0.109426474156029,0.134499546749625,0.146579612321265,0.079505916060451,-0.473830739731065,-0.519585554936639,-0.0419653994701699,0.36090325911529,0.127213015574262,-0.104311122497464
"Dance",-0.0859626022462234,-0.193663742999396,-0.314479716326848,0.0940200367153242,-0.124212446721699,0.0140472649820864,-0.228956799496187,0.153579420924281,-0.157036671786261,0.0967766505030277,-0.0611563906988227,0.0687321815455004,0.166230033974397,-0.065093785591056,-0.00879997851224464,-0.121863444807445,0.00558822764479158,0.116819597664375,0.298405310713815,-0.281166257830517,0.268698594333302,0.40188939073888,-0.237367909991026,0.365754532172943,-0.00825462506039948,-0.0156006594432404,-0.201663594434573,-0.123574814135137,-0.0676962144530867
"Folk",0.183518289848235,-0.175421043677213,-0.00233493740324255,-0.189686338924949,-0.0256177513193257,-0.0537219561519474,-0.0133161539652249,0.0613353911195269,-0.26309875494481,-0.13270284260033,0.305221399377095,0.0851451639463591,0.364819717744685,-0.144624508612141,0.146645892146725,0.0660420628052775,0.436976597779862,0.113273390531295,0.301522971824339,0.187340660433888,-0.0837583574612041,-0.130677659070649,0.288468870354796,-0.00570998075144174,0.146278802929197,0.224949604041557,-0.0779339592841179,0.036896531571797,0.0916379390868392
"Country",0.173346584898808,-0.0814319969928321,-0.0740895618235149,-0.144359317547967,-0.0239065478011333,-0.10638412254827,0.132418715145333,0.147416325752187,-0.293465241257828,0.105921371226697,0.343117801626881,0.00267379487886781,0.305738645964406,0.17590426623942,-0.0194996708956515,0.0313455124532177,-0.0751997237285566,-0.00390769066259113,-0.344038899786535,0.0404338074611489,-0.152375162054896,0.113328990138202,-0.517393424425934,-0.0827791976174194,-0.0291614648481189,-0.148239485818505,0.292626337157736,0.0145609970796357,-0.00554024005418923
"Classical.music",0.307165556472863,-0.13593443661071,0.0433484559415864,-0.26426581766785,-0.00135776065641648,-0.103435283676164,-0.227752206253421,-0.0490544934088547,0.102847980213795,-0.240036757552409,-0.207450797411239,-0.0648436886911812,0.0553200563053872,0.0269657264007811,-0.292462848842725,0.040720519728365,0.142828037182305,0.0178137226747778,-0.036587354616506,-0.0849551698618227,-0.145925361177322,0.000391285839306518,-0.179964872370207,-0.302310770121457,-0.35278027467822,-0.105700350975679,-0.474579878440859,-0.0570768779127365,-0.0748629996402616
"Musical",0.16530920383807,-0.32283229558091,0.0261674163776653,-0.0427349639157184,0.10481473777242,-0.263435825571249,0.0240656265011617,0.216640999830456,0.184782330995925,-0.155246691615942,-0.12208888526045,-0.253581220002819,-0.0568056425317457,0.0843595952214224,0.408326545245193,-0.0846430255652554,-0.382004542337977,-0.0337806549889898,0.160075629043764,0.292875582041374,0.116017169021724,-0.0682492155977521,-0.199081665347196,-0.0567034778207252,0.258752557258774,0.116891519291884,-0.123305783182625,-0.0311208708659208,-0.0112039927723047
"Pop",-0.0851524052110924,-0.251311173805058,-0.190020026539423,0.140237474243572,0.0611221565570604,-0.0791136806964738,-0.0434780170921771,0.317584143284009,0.171246074494726,0.128583530083199,-0.22316714906286,0.102113094831461,0.316927900375935,-0.0255030346707484,-0.110937715313567,-0.0935160322083805,0.059513236263154,-0.0381370125636704,-0.0435896727290442,-0.298423640711311,0.0289972225003426,-0.45945103939209,0.135100347652061,-0.202998056897724,0.184392287121012,-0.325299843614252,0.140927291261064,0.0609671944050419,0.0457116565605999
"Rock",0.283276417287511,0.0858510130636812,0.0723230439334563,0.276116469826486,0.0651200086944458,0.0521332057759165,-0.00149239214532282,0.234450417856672,-0.0358807556359553,0.160905046208101,-0.241680741224645,0.0321490420663379,0.111836536877627,0.032093171861084,-0.182751213540984,-0.0788484239955512,0.0247594674437997,0.00177853921835506,-0.0411442068105714,0.0694846822763346,-0.0412492853348413,-0.281335152104548,-0.127677493190083,0.213929243751532,-0.24471605963292,0.603339088870081,0.117952730128725,-0.0652434346878488,-0.192569503618346
"Metal.or.Hardrock",0.312946355424354,0.259221533010475,0.0702595924054398,0.197024921887558,0.039323784344468,0.101212176378597,-0.012345679011383,0.328792898882686,-0.283283662828434,-0.178761876325536,-0.0255556217639145,-0.104484786202446,-0.353482175768309,0.108909575252475,-0.0418430199303553,0.0843492941233969,0.289942313081338,-0.144125275947949,0.177925408870914,0.0701490938664733,0.168535594926677,-0.133230229805163,-0.143808987501025,0.120109692351118,0.129448200057958,-0.395177399686088,-0.0133904817794694,0.0653162215605274,0.0395915154272023
"Punk",0.27793735902282,0.196760304351466,0.0256046785633879,0.35369151826815,-0.0158458529832734,0.0741494814150491,0.0546606641783602,0.223976138526787,6.633455939151e-05,-0.269477130694611,0.0401851405758599,-0.0135171872959702,0.0967808425096565,-0.292743877379248,-0.0196531699856038,-0.12371507814518,-0.179476454196038,0.0741577226071413,-0.131309605348757,-0.21732488425553,-0.223950516848966,0.40030490669863,0.182203595271653,-0.297304134966378,0.251733577844142,0.0902157439033771,-0.0312006228936865,-0.0861884106175253,0.0113175458714471
